UR532,20117,0.404
UR147,59510,1.256
UR762,30303,1.094
UR742,25507,0.58
UR767,75440,0.986
UR765,52797,1.211
UR152,32268,1.439
UR565,44565,0.519
UR752,28301,0.598
UR735,31708,0.716
UR545,31535,0.533
UR552,22625,0.401
UR737,38896,0.834
UR555,35911,0.522
UR145,41872,1.187
UR757,60754,1.009
UR537,32883,0.501
UR157,72977,1.356
UR547,40543,0.433
UR745,35804,0.801
UR747,50382,0.881
UR155,51451,1.319
UR755,43661,1.015
UR732,25073,0.493
UR562,26321,0.511
UR142,29619,0.832
UR542,20357,0.312
UR557,50554,0.532
UR135,37831,1.18
UR132,27804,0.687
UR162,35898,0.98
UR167,84887,1.306
UR567,61381,0.705
UR535,27489,0.485
UR137,47225,1.153
UR165,61727,1.368
