UR532,20117,0.271
UR147,59510,1.493
UR762,30303,0.739
UR742,25507,0.555
UR767,75440,0.887
UR765,52797,0.855
UR152,32268,1.1
UR565,44565,0.539
UR752,28301,0.61
UR735,31708,0.7
UR545,31535,0.488
UR552,22625,0.415
UR737,38896,0.833
UR555,35911,0.46
UR145,41872,1.219
UR757,60754,0.815
UR537,32883,0.441
UR157,72977,1.267
UR547,40543,0.477
UR745,35804,0.776
UR747,50382,0.771
UR155,51451,1.307
UR755,43661,0.908
UR732,25073,0.477
UR562,26321,0.494
UR142,29619,0.832
UR542,20357,0.368
UR557,50554,0.446
UR135,37831,1.047
UR132,27804,0.674
UR162,35898,1.151
UR167,84887,1.453
UR567,61381,0.856
UR535,27489,0.451
UR137,47225,1.312
UR165,61727,1.378
