UR532,21105,0.36
UR147,60662,1.331
UR762,31182,0.865
UR742,26966,0.488
UR767,76021,0.753
UR765,53561,1.06
UR152,34279,0.926
UR565,44874,0.435
UR752,29605,0.651
UR735,33858,0.683
UR545,32105,0.47
UR552,24396,0.412
UR737,41194,0.716
UR555,37593,0.423
UR145,44327,1.084
UR757,61685,0.812
UR537,34686,0.475
UR157,72988,1.172
UR547,41639,0.411
UR745,36718,0.677
UR747,50242,0.733
UR155,52493,1.486
UR755,45518,0.904
UR732,25282,0.444
UR562,26900,0.467
UR142,31047,0.751
UR542,21815,0.313
UR557,50332,0.451
UR135,39609,0.983
UR132,29275,0.636
UR162,36629,1.373
UR167,85746,1.176
UR567,61899,0.441
UR535,28551,0.428
UR137,48338,1.065
UR165,62917,1.164
