Nombre,Costo,Valor Óptimo,Tiempo (seg),Desviación,Índice
UR132,27804,23913,0.405,16.2714841299711,1.16271484129971
UR135,37831,33088,0.649,14.334501934236,1.14334501934236
UR137,47225,42797,0.825,10.3465196158609,1.10346519615861
UR142,29619,25548,0.579,15.9347111319868,1.15934711131987
UR145,41872,39008,0.933,7.34208367514356,1.07342083675144
UR147,59510,55959,0.856,6.34571740023946,1.06345717400239
UR152,32268,28975,0.608,11.3649698015531,1.11364969801553
UR155,51451,49156,0.844,4.66880950443486,1.04668809504435
UR157,72977,70231,0.885,3.90995429368797,1.03909954293688
UR162,35898,32341,0.727,10.9984230543273,1.10998423054327
UR165,61727,58800,0.969,4.97789115646259,1.04977891156463
UR167,84887,82481,0.942,2.91703543846462,1.02917035438465
UR532,20117,17277,0.144,16.4380390114024,1.16438039011402
UR535,27489,23635,0.246,16.3063253649249,1.16306325364925
UR537,32883,30098,0.31,9.25310651870556,1.09253106518706
UR542,20357,17830,0.18,14.1727425687044,1.14172742568704
UR545,31535,29648,0.261,6.36467889908257,1.06364678899083
UR547,40543,38692,0.258,4.78393466349633,1.04783934663496
UR552,22625,20097,0.247,12.5789918893367,1.12578991889337
UR555,35911,34488,0.375,4.12607283692879,1.04126072836929
UR557,50554,48307,0.28,4.6514997826402,1.0465149978264
UR562,26321,24556,0.243,7.18765271216811,1.07187652712168
UR565,44565,42828,0.3,4.05575791538246,1.04055757915382
UR567,61381,58971,0.301,4.08675450645232,1.04086754506452
UR732,25073,21114,0.271,18.7505920242493,1.18750592024249
UR735,31708,28663,0.429,10.6234518368629,1.10623451836863
UR737,38896,36588,0.491,6.30807915163442,1.06308079151634
UR742,25507,22557,0.357,13.0779802278672,1.13077980227867
UR745,35804,32493,0.478,10.1898870525959,1.10189887052596
UR747,50382,47764,0.497,5.48111548446529,1.05481115484465
UR752,28301,25131,0.39,12.6139031475071,1.12613903147507
UR755,43661,41774,0.581,4.51716378608704,1.04517163786087
UR757,60754,58416,0.552,4.00232812927965,1.0400232812928
UR762,30303,27880,0.51,8.69081779053085,1.08690817790531
UR765,52797,50492,0.552,4.56507961657292,1.04565079616573
UR767,75440,72950,0.585,3.41329677861549,1.03413296778615
