UR532,21970,0.398
UR147,58960,1.366
UR762,31388,0.984
UR742,26174,0.73
UR767,75391,1.044
UR765,53269,1.009
UR152,33758,1.06
UR565,45867,0.628
UR752,29218,0.971
UR735,35078,0.767
UR545,32130,0.489
UR552,22439,0.454
UR737,40579,0.953
UR555,36901,0.553
UR145,42825,1.36
UR757,62213,1.049
UR537,32146,0.528
UR157,74496,1.666
UR547,42345,0.587
UR745,36658,0.826
UR747,50912,0.857
UR155,53656,1.622
UR755,45286,1.099
UR732,24994,0.47
UR562,27811,0.507
UR142,31591,1.028
UR542,21533,0.352
UR557,51416,0.51
UR135,39475,1.197
UR132,30249,0.769
UR162,36773,1.439
UR167,86001,2.073
UR567,61832,0.554
UR535,27635,0.47
UR137,49506,1.576
UR165,62294,1.469
