UR532,20117,0.328
UR147,59510,1.2
UR762,30303,0.754
UR742,25507,0.55
UR767,75440,0.932
UR765,52797,1.303
UR152,32268,1.372
UR565,44565,0.524
UR752,28301,0.631
UR735,31708,0.726
UR545,31535,0.474
UR552,22625,0.385
UR737,38896,0.886
UR555,35911,0.551
UR145,41872,1.271
UR757,60754,0.843
UR537,32883,0.516
UR157,72977,1.367
UR547,40543,0.5
UR745,35804,0.848
UR747,50382,0.794
UR155,51451,1.385
UR755,43661,1.057
UR732,25073,0.443
UR562,26321,0.472
UR142,29619,1.334
UR542,20357,0.327
UR557,50554,0.497
UR135,37831,1.066
UR132,27804,0.6
UR162,35898,1.039
UR167,84887,1.342
UR567,61381,0.744
UR535,27489,0.455
UR137,47225,1.256
UR165,61727,1.285
