UR532,20354,0.157
UR147,59861,0.917
UR762,31197,0.491
UR742,26324,0.343
UR767,76454,0.686
PALMA,30,0.024
UR765,52855,0.609
UR152,33561,0.675
UR565,45444,0.315
UR752,29321,0.429
UR735,33160,0.41
UR545,32573,0.272
UR552,24414,0.231
UR737,39964,0.571
UR555,37622,0.287
UR145,44106,0.815
UR757,61205,0.616
UR537,33032,0.292
UR157,74238,0.955
UR547,40603,0.277
UR745,36580,0.53
UR747,51706,0.578
UR155,52755,1.111
UR755,45505,0.701
UR732,25068,0.28
UR562,27528,0.273
UR142,30747,0.656
UR542,21325,0.199
UR557,49989,0.334
UR135,38446,0.752
UR132,29524,0.467
UR162,37358,0.782
UR167,85692,1.034
UR567,60895,0.353
UR535,27273,0.278
UR137,47770,0.967
UR165,63292,1.074
