UR532,20117,0.139
UR147,59510,0.946
UR762,30303,0.449
UR742,25507,0.326
UR767,75440,0.598
PALMA,30,0.018
UR765,52797,0.571
UR152,32268,0.633
UR565,44565,0.337
UR752,28301,0.412
UR735,31708,0.402
UR545,31535,0.272
UR552,22625,0.214
UR737,38896,0.514
UR555,35911,0.306
UR145,41872,0.721
UR757,60754,0.54
UR537,32883,0.292
UR157,72977,0.885
UR547,40543,0.269
UR745,35804,0.495
UR747,50382,0.532
UR155,51451,0.921
UR755,43661,0.632
UR732,25073,0.257
UR562,26321,0.303
UR142,29619,0.591
UR542,20357,0.206
UR557,50554,0.34
UR135,37831,0.702
UR132,27804,0.403
UR162,35898,0.759
UR167,84887,0.968
UR567,61381,0.353
UR535,27489,0.247
UR137,47225,0.849
UR165,61727,0.992
