UR532,20117,0.184
UR147,59510,0.838
UR762,30303,0.451
UR742,25507,0.36
UR767,75440,0.535
PALMA,30,0.019
UR765,52797,0.558
UR152,32268,0.588
UR565,44565,0.279
UR752,28301,0.408
UR735,31708,0.38
UR545,31535,0.26
UR552,22625,0.203
UR737,38896,0.486
UR555,35911,0.27
UR145,41872,0.708
UR757,60754,0.558
UR537,32883,0.286
UR157,72977,0.898
UR547,40543,0.252
UR745,35804,0.475
UR747,50382,0.489
UR155,51451,0.811
UR755,43661,0.576
UR732,25073,0.249
UR562,26321,0.251
UR142,29619,0.575
UR542,20357,0.178
UR557,50554,0.285
UR135,37831,0.715
UR132,27804,0.374
UR162,35898,0.714
UR167,84887,0.942
UR567,61381,0.282
UR535,27489,0.231
UR137,47225,0.743
UR165,61727,0.895
